sp,Family,Common Name,Vernacular Name,Status,Growth habit,Habitat,Adult Vegetative Zone,Seedling Vegetative Zone,Germination Requirements,Substrate Requirements,Soil or Nutrient Levels,Canopy Cover,Humidity Level,Other Abiotic Factors,Host Plant (if epiphytic),Pollination Mode,Seed Dispersal Mode,mode,"Other Biotic Partners (mycorrhizae, etc.)",Known Pest/Diseases,
Barringtonia asiatica,Lecythidaceae,fish kill ,putting,native,Tree,"limestone, strand (Stone, 1970)","Overstory, emergent, Cliffside","Edge, Cliffside",Can be grown by seeds and seedlings (Raulerson & Rinehart 1991),"Limestone, strand (Stone 1970)",-,-,-,-,-,Bats may assist pollination (Wiles & Fujita 1992),Sea drift (Stone 1970); gravity,unassisted,Likely vesicular-arbuscular mycorrhizal association in Lecythidaceae family (Smith & Smith 1997),Deer grazing,
Pandanus dubius,Pandanaceae,screwpine,pahong,native,Tree,limestone,Overstory,-,Can be grown from individual drupes or cuttings (Raulerson & Rinehart 1991),"Limestone, mostly on the northern plateau, but also scattered in the southern part on limestone-capped hills (Stone 1970)",-,-,-,-,na,-,"Sea, freshwater, fish, turtles, birds, bats (Raulerson & Rinehart 1991)",endo,-,Phyllosticta sp. (Schlub 2017),
Pisonia umbellifera,Nyctaginaceae,birdlime tree,-,native,Tree,limestone,"Overstory, emergent",-,Can be grown from seed or branch cuttings (Raulerson & Rinehart (1991),In primary limestone (Stone 1970),-,-,Prefers humid environments (Raulerson & Rinehart 1991),-,na,-,Sticky fruits - bird dispersed?,attach,-,-,
Aglaia mariannensis,Meliaceae,,mapunyao,native,"Tree, small to medium",limestone,"Overstory, Understory",Forest floor,"Can be grown by seeds or by transplanting seedlings that are particularly abundant in moist limestone forests (Raulerson & Rinehart 1991); germination time 1-3 months, planting depth no deeper than twice the size of the seeds, seedlings from 1-gallon pots will be ready for transplant in 4-6 months after initial germination, ensure shoot growth is at least 1 ft. above pot height and no taller than 2 ft. and ensure girth is at least 0.50 in. in diameter (CNAS 2019).","limestone, volcanic soils (Raulerson & Rinehart 1991)","pH value 6.5-7.0; lime stone and volcanic soils (CNAS 2019); total carbon, total nitrogen, calcium, net ammonification and zinc greater in native forest cover (dominated by Aglaia mariannensis, Pisonia grandis, Psychotria mariana, Cynometra ramiflora, and Eugenia palumbis) than in L. leucocephala patches (Marler et al 2016)",Shade-tolerant (Raulerson & Rinehart 2018); full sun or shade (CNAS 2019),,,-,-,Wildlife (CNAS 2019); Bird/Bat (Wandrag et al 2015); Såli (Pollock et al 2020),endo,Ectomycorrhiza and arbuscular myorrhizal fungi association in Meliaceae family (Shi et al 2006),"Rose beetle, rooting from wild pigs (CNAS 2019); feral ungulate browsing (Vogt & Williams 2004), although Gawel et al (2019) show limited browsing",
Allophylus timorensis,Sapindaceae,,,native,"Shrub, sprawling shrub",limestone,"Edge, Cliffside","Edge, Cliffside",Can be grown by seeds and perhaps cuttings in a suitable habitat (Raulerson & Rinehart 1991). ,limestone (Raulerson & Rinehart 1991),-,,-,-,-,-,Wildlife (Raulerson & Rinehart 1991),endo,Ectomycorrhiza association in Sapindaceae family (Reddell & Warren 1986),-,
Maesa walkeri ,Primulaceae,UNRESOLVED NAME,,"native, T",Shrub,limestone,"Edge, limestone","Edge, open areas",Can be grown by seeds (Raulerson & Rinehart 1991),Limestone (Raulerson & Rinehart 1991),,Tolerates full sun,,,,,Wildlife (Raulerson & Rinehart 1991),endo,,"Ungulate damage, wildfires (DOI 2015)",
Discocalyx megacarpa,Primulaceae,-,otot,native,Shrub,"limestone, clay",Understory,"Forest floor, along stream bank","Can be grown by seeds (Raulerson & Rinehart 1991); Select seeds from healthy and mature fruits either on the plant or ground, and dry them. Plant no deeper than 0.80"". Germination may take up to 6 months (Laurent & Tuquero 2019)","Limestone, clay (Rinehart & Raulerson, 1991)",Prefers neutral soil; pH 6.5-7.3 (Laurent & Tuquero 2019),Prefers shade (Laurent & Tuquero 2019),Prefers moist soil (Laurent & Tuquero 2019),Low salt tolerance and medium wind tolerance (Laurent & Tuquero 2019),-,-,"Wildlife (Raulerson & Rinehart, 1992); birds, bats",endo,-,-,
Bulbophyllum guamense ,Orchidaceae,,cebello halumtano ,"native, T","Epiphytic, host trees","limestone, backstrand","Overstory, canopy",Epiphytic,Innoculation from mycorrhzae; must be invaded by hyphae of particular fungal species for embryo to germinate (McCormick 2012),"Epiphytic, host trees",-,Tolerates shade and sun,Found mostly in moist and humid areas (Raulerson & Rinehart 1992; Stone 1970),,"Various host plant species, native and non-native",May use specific chemicals in floral fragrance to attract pollinators (Tan & Nishida 2007),Wind,wind,"Likely myccorhizae, like many orchids","Wildfires, development, and feral animals that negatively impact regeneration of new host trees (DOI 2015)",
Calanthe triplicata,Orchidaceae,-,-,native,Terrestrial,limestone,Understory,Forest floor,"Innoculation from mycorrhzae, like all orchids",Found in southern limestone,Well drained (Raulerson & Rinehart 1992),Shady (Raulerson & Rinehart 1991),-,-,na,-,Wind,wind,"Likely myccorhizae, like many orchids",-,
Nervilia jacksoniae ,Orchidaceae,,,"native, T",,limestone,Understory,Forest floor (Raulerson & Rinehart 1992),"Requires a specific mycorrhizal fungus, found to associate primarily with a single family of undescribed Agaricomycetes (Nomure et al. 2013); Innoculation from mycorrhzae (McCormick at al 2012)",-,sandy soil or humus (Raulerson & Rinehart 1992),Shady (Raulerson & Rinehart 1991),,,na,"Dependent on insects for pollination, specifically small halictid bees and scoliid wasps. Flowers are nectar-less and adapted to pollination by deceit directed to solitary true wasps (Pettersson 1991); Self-pollinated (Cribb & Whistler 2011)",Wind,wind,"Likely myccorhizae, like many orchids","Spider mites and thrips, herbivory by non-native slugs, cymbidium mosaic virus and odontoglossum ringspot virus (Davis et al 2008; McConnell and Cruz 1996; DOI 2015); Possibly feral pigs (Raulerson & Rinehart 1992)",
Nervillia aragoana,Orchidaceae,water root orchid,saya I hagon,native,Terrestrial,limestone,Understory,Forest floor (Raulerson & Rinehart 1992),"Innoculation from mycorrhzae, like all orchids; Exhibits vegetative propagation (Raulerson & Rinehart 1991)",-,-,Shady (Raulerson & Rinehart 1991),Leaves emerge in rainy season,-,na,-,Wind,wind,"Likely myccorhizae, like many orchids",-,
Dendrobium guamense,Orchidaceae,,,"native, T","Epiphytic, host trees","limestone, backstrand","Overstory, canopy",Epiphytic,Innoculation from mycorrhzae; must be invaded by hyphae of particular fungal species for embryo to germinate (McCormick 2012),"Epiphytic, host trees",-,Tolerates shade and sun,,,"Various understory host plants, clusters found on Elaeocarpus, Heritiera, and Macaranga.",Likely insect pollinated or self-pollinated,Wind and possibly water (Cribb & Whistler 2011),wind,"Likely myccorhizae, like many orchids","Spider mites and thirps, non-native slugs, cymbidium mosaic virus, and odontoglossum rignspot virus (Davis et al 2008; McConnel and Crus 1996; DOI 2015)",
Tuberolabium guamense ,Orchidaceae,,,"native, T","Epiphytic, host trees",limestone,Understory,Epiphytic,Innoculation from mycorrhzae; must be invaded by hyphae of particular fungal species for embryo to germinate (McCormick 2012),"Epiphytic, host trees",-,Tolerates shade and sun,Found in moist and shady areas (Demeulenaere et al 2018),,"Various understory host plants; found mostly on Eugenia reinwardtiana and some Aglaia mariannensis, Cynometra ramiflora, E. palumbis, and E. thompsonii (Demeulenaere et al 2018)",Likely insect pollinated or self-pollinated,Wind and possibly water (Cribb & Whistler 2011),wind,"Likely myccorhizae, like many orchids","Wildfires, development, and feral animals that negatively impact regeneration of new host trees (DOI 2015); herbivory by Cuban slug, Veronicella cubensis (DOI 2015)",
Excoecaria agallocha,Euphorbiaceae,blinding tree,,native,Shrub to small tree,"limestone, mangrove","Edge, Cliffside",Edge,Can be grown by seeds and perhaps by cuttings - beware of caustic sap (Raulerson & Rinehart 1991); seed germination and seedlings perform best at 0 and 5 psu salinity while beginning to stunt at 15 psu (Chen & Ye 2014),Rocky strand (Raulerson & Rinehart 1991),Intolerant to high salinity in soil (Chen & Ye 2014),Tolerate sun and shade,-,Tolerant of salt spray,-,Poiination is accomplished by both wind and insects (Deo et al 2018),,NA,Ectomycorrhiza and arbuscular myorrhizal fungi association in Euphoribiaceae family (Newman & Reddell 1987),-,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
